application_id,loan_amount,tier1_fraud_score,tier1_risk_score,tier1_recommendation,tier1_cost,final_decision,tier2_cost,tier3_cost,total_cost,path,tier2_score,tier2_decision,tier3_checked,final_score
APP_000001,10000,100.0,2,AUTO_REJECT,0,REJECT_FRAUD,0,0,0,TIER1_REJECT,,,,
APP_000002,3000,0.0,99,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000003,1000,0.0,100,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000004,3000,0.0,93,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000005,15000,0.0,86,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000006,10000,100.0,0,AUTO_REJECT,0,REJECT_FRAUD,0,0,0,TIER1_REJECT,,,,
APP_000007,3000,80.0,14,AUTO_REJECT,0,REJECT_FRAUD,0,0,0,TIER1_REJECT,,,,
APP_000008,1000,0.0,73,PROCEED_TO_TIER2,0,APPROVE,20,0,20,TIER2_APPROVE,100.0,APPROVE,,
APP_000009,10000,0.0,95,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000010,2000,0.0,83,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000011,15000,0.0,86,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000012,1000,100.0,0,AUTO_REJECT,0,REJECT_FRAUD,0,0,0,TIER1_REJECT,,,,
APP_000013,10000,0.0,70,PROCEED_TO_TIER2,0,APPROVE,20,0,20,TIER2_APPROVE,70.0,APPROVE,,
APP_000014,5000,0.0,91,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000015,15000,0.0,76,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000016,1000,100.0,0,AUTO_REJECT,0,REJECT_FRAUD,0,0,0,TIER1_REJECT,,,,
APP_000017,10000,0.0,100,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000018,10000,0.0,90,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000019,20000,0.0,80,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000020,10000,0.0,98,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000021,10000,0.0,96,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000022,1000,0.0,100,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000023,15000,20.0,54,PROCEED_TO_TIER2,0,APPROVE,20,0,20,TIER2_APPROVE,70.0,APPROVE,,
APP_000024,10000,0.0,80,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000025,15000,0.0,58,PROCEED_TO_TIER2,0,APPROVE,20,0,20,TIER2_APPROVE,100.0,APPROVE,,
APP_000026,20000,0.0,93,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000027,2000,100.0,0,AUTO_REJECT,0,REJECT_FRAUD,0,0,0,TIER1_REJECT,,,,
APP_000028,10000,100.0,0,AUTO_REJECT,0,REJECT_FRAUD,0,0,0,TIER1_REJECT,,,,
APP_000029,5000,0.0,100,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000030,2000,0.0,94,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000031,20000,0.0,70,PROCEED_TO_TIER2,0,APPROVE,20,0,20,TIER2_APPROVE,100.0,APPROVE,,
APP_000032,15000,0.0,81,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000033,5000,20.0,80,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000034,2000,0.0,68,PROCEED_TO_TIER2,0,APPROVE,20,0,20,TIER2_APPROVE,100.0,APPROVE,,
APP_000035,2000,0.0,100,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000036,20000,0.0,79,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000037,5000,0.0,99,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000038,15000,0.0,76,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000039,5000,0.0,98,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000040,15000,0.0,73,PROCEED_TO_TIER2,0,APPROVE,20,0,20,TIER2_APPROVE,70.0,APPROVE,,
APP_000041,10000,0.0,79,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000042,20000,0.0,90,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000043,1000,30.0,68,PROCEED_TO_TIER2,0,APPROVE,20,0,20,TIER2_APPROVE,70.0,APPROVE,,
APP_000044,5000,0.0,94,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000045,10000,0.0,79,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000046,2000,0.0,98,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000047,3000,100.0,0,AUTO_REJECT,0,REJECT_FRAUD,0,0,0,TIER1_REJECT,,,,
APP_000048,3000,0.0,100,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000049,20000,0.0,83,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
APP_000050,10000,0.0,86,AUTO_APPROVE,0,APPROVE,0,0,0,TIER1_APPROVE,,,,
