application_id,applicant_type,timestamp,device_age_months,sim_age_months,completion_time_seconds,application_hour,applications_last_24h,copy_paste_count,gps_matches_address,device_value,device_value_ksh,line_type,has_kra_pin,has_nssf,iprs_verified,has_crb_record,crb_score,loan_amount,loan_term_days,monthly_income,employment_type,location,should_approve,will_default
APP_000001,fraudster,2025-11-30 10:49:02,0.1,0.6,50,4,4,15,1,medium,20000,prepaid,0,0,1,0,300,10000,14,8306.61,unemployed,Rural,0,1
APP_000002,legitimate,2025-12-07 10:49:02,23.7,21.9,821,13,1,0,1,low,5000,postpaid,0,1,1,0,300,3000,30,51320.77,self_employed,Rural,0,0
APP_000003,legitimate,2025-12-29 10:49:02,1.1,48.3,853,13,1,0,1,high,60000,postpaid,0,0,1,1,657,1000,14,42807.57,formal,Eldoret,1,0
APP_000004,legitimate,2026-02-06 10:49:02,0.4,84.1,513,16,1,2,1,high,60000,prepaid,1,1,1,0,300,3000,90,30538.43,informal,Kisumu,1,0
APP_000005,legitimate,2025-12-04 10:49:02,32.2,5.7,319,12,1,1,1,high,60000,prepaid,1,0,1,0,300,15000,60,17946.4,informal,Nakuru,0,0
APP_000006,fraudster,2025-12-16 10:49:02,2.2,0.9,82,6,8,8,1,low,5000,prepaid,0,0,1,0,453,10000,7,10724.29,unemployed,Mombasa,0,1
APP_000007,fraudster,2026-01-31 10:49:02,2.9,1.7,31,0,4,15,1,medium,20000,postpaid,0,0,1,0,398,3000,90,25230.45,informal,Eldoret,0,1
APP_000008,risky,2026-01-05 10:49:02,6.2,11.0,479,14,1,2,1,medium,20000,prepaid,1,1,1,0,300,1000,90,36987.26,self_employed,Eldoret,0,0
APP_000009,legitimate,2026-01-17 10:49:02,11.0,36.9,444,14,1,2,1,low,5000,postpaid,1,1,1,1,357,10000,14,38745.32,self_employed,Nairobi,1,0
APP_000010,good_repeat,2025-12-05 10:49:02,16.2,1.1,753,10,1,2,1,high,60000,postpaid,1,0,1,0,300,2000,7,15946.54,self_employed,Mombasa,1,0
APP_000011,legitimate,2025-12-02 10:49:02,1.2,71.4,432,15,1,0,1,low,5000,prepaid,1,1,1,0,300,15000,60,26177.02,informal,Rural,0,0
APP_000012,fraudster,2026-01-31 10:49:02,0.7,0.9,66,3,4,6,0,medium,20000,postpaid,0,0,1,0,300,1000,60,51026.66,self_employed,Rural,0,1
APP_000013,legitimate,2026-02-12 10:49:02,6.5,2.5,414,12,1,1,1,medium,20000,postpaid,0,1,1,1,685,10000,7,59128.69,formal,Mombasa,1,0
